,chunk,label
0,subject_55_j489ubvnol_vid_0_0.mp4,Barely-engaged
1,subject_55_j489ubvnol_vid_0_1.mp4,Highly-Engaged
2,subject_55_j489ubvnol_vid_0_10.mp4,Highly-Engaged
3,subject_55_j489ubvnol_vid_0_11.mp4,Highly-Engaged
4,subject_55_j489ubvnol_vid_0_12.mp4,Highly-Engaged
5,subject_55_j489ubvnol_vid_0_13.mp4,Highly-Engaged
6,subject_55_j489ubvnol_vid_0_14.mp4,Barely-engaged
7,subject_55_j489ubvnol_vid_0_15.mp4,Highly-Engaged
8,subject_55_j489ubvnol_vid_0_16.mp4,Barely-engaged
9,subject_55_j489ubvnol_vid_0_17.mp4,Barely-engaged
10,subject_55_j489ubvnol_vid_0_18.mp4,Engaged
11,subject_55_j489ubvnol_vid_0_19.mp4,Engaged
12,subject_55_j489ubvnol_vid_0_2.mp4,Highly-Engaged
13,subject_55_j489ubvnol_vid_0_20.mp4,Highly-Engaged
14,subject_55_j489ubvnol_vid_0_21.mp4,Highly-Engaged
15,subject_55_j489ubvnol_vid_0_22.mp4,Highly-Engaged
16,subject_55_j489ubvnol_vid_0_23.mp4,Barely-engaged
17,subject_55_j489ubvnol_vid_0_24.mp4,Highly-Engaged
18,subject_55_j489ubvnol_vid_0_25.mp4,Highly-Engaged
19,subject_55_j489ubvnol_vid_0_26.mp4,Highly-Engaged
20,subject_55_j489ubvnol_vid_0_3.mp4,Highly-Engaged
21,subject_55_j489ubvnol_vid_0_4.mp4,Highly-Engaged
22,subject_55_j489ubvnol_vid_0_5.mp4,Highly-Engaged
23,subject_55_j489ubvnol_vid_0_6.mp4,Highly-Engaged
24,subject_55_j489ubvnol_vid_0_7.mp4,Highly-Engaged
25,subject_55_j489ubvnol_vid_0_8.mp4,Engaged
26,subject_55_j489ubvnol_vid_0_9.mp4,Highly-Engaged
27,subject_55_j489ubvnol_vid_1_0.mp4,Highly-Engaged
28,subject_55_j489ubvnol_vid_1_1.mp4,Highly-Engaged
29,subject_55_j489ubvnol_vid_1_10.mp4,Highly-Engaged
30,subject_55_j489ubvnol_vid_1_11.mp4,Barely-engaged
31,subject_55_j489ubvnol_vid_1_12.mp4,Highly-Engaged
32,subject_55_j489ubvnol_vid_1_13.mp4,Highly-Engaged
33,subject_55_j489ubvnol_vid_1_14.mp4,Barely-engaged
34,subject_55_j489ubvnol_vid_1_15.mp4,Engaged
35,subject_55_j489ubvnol_vid_1_16.mp4,Engaged
36,subject_55_j489ubvnol_vid_1_17.mp4,Not-Engaged
37,subject_55_j489ubvnol_vid_1_18.mp4,Barely-engaged
38,subject_55_j489ubvnol_vid_1_19.mp4,Barely-engaged
39,subject_55_j489ubvnol_vid_1_2.mp4,Highly-Engaged
40,subject_55_j489ubvnol_vid_1_20.mp4,Engaged
41,subject_55_j489ubvnol_vid_1_21.mp4,Highly-Engaged
42,subject_55_j489ubvnol_vid_1_22.mp4,Highly-Engaged
43,subject_55_j489ubvnol_vid_1_23.mp4,Highly-Engaged
44,subject_55_j489ubvnol_vid_1_24.mp4,Engaged
45,subject_55_j489ubvnol_vid_1_25.mp4,Engaged
46,subject_55_j489ubvnol_vid_1_26.mp4,Highly-Engaged
47,subject_55_j489ubvnol_vid_1_27.mp4,Highly-Engaged
48,subject_55_j489ubvnol_vid_1_28.mp4,Highly-Engaged
49,subject_55_j489ubvnol_vid_1_29.mp4,Highly-Engaged
50,subject_55_j489ubvnol_vid_1_3.mp4,Barely-engaged
51,subject_55_j489ubvnol_vid_1_30.mp4,Engaged
52,subject_55_j489ubvnol_vid_1_31.mp4,Highly-Engaged
